,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Chifeng,0,CN,1565816188,62,42.27,118.96,60.17,4.21
1,Khani,0,GE,1565816189,88,41.96,42.96,69.8,2.24
2,Saskylakh,36,RU,1565816191,88,71.97,114.09,39.83,5.99
3,Saint-Philippe,1,CA,1565816192,47,45.36,-73.48,77.0,6.93
4,Praia,40,BR,1565816193,53,-20.25,-43.81,75.2,13.87
5,Kapaa,40,US,1565816194,62,22.08,-159.32,87.8,9.17
6,Busselton,95,AU,1565816196,98,-33.64,115.35,45.0,12.3
7,Tigil,0,RU,1565816197,74,57.8,158.67,57.29,7.05
8,Saryg-Sep,13,RU,1565816198,79,51.49,95.55,45.23,3.18
9,Gizo,40,IL,1565816199,74,31.8,34.94,80.6,4.7
10,Hobart,75,AU,1565816087,61,-42.88,147.33,51.01,6.93
11,Nongstoin,100,IN,1565816201,99,25.52,91.27,71.51,6.2
12,Batagay-Alyta,0,RU,1565816203,56,67.8,130.41,54.95,0.85
13,Yumen,0,CN,1565816204,12,40.29,97.04,74.21,12.44
14,Harlingen,75,NL,1565816003,93,53.18,5.41,61.0,8.05
15,Ushuaia,40,AR,1565816151,95,-54.81,-68.31,41.0,19.46
16,Lavrentiya,74,RU,1565816207,79,65.58,-170.99,51.17,9.91
17,Albany,75,US,1565816108,39,42.65,-73.75,82.99,5.82
18,Biu,97,NG,1565816054,91,10.61,12.19,72.77,5.57
19,Ostersund,95,SE,1565816211,81,63.18,14.64,50.0,11.41
20,Hovd,20,NO,1565816212,87,63.83,10.7,55.0,6.93
21,Tasiilaq,0,GL,1565816213,86,65.61,-37.64,41.0,4.7
22,Hermanus,33,ZA,1565816215,92,-34.42,19.24,55.0,4.0
23,Tuktoyaktuk,90,CA,1565816216,100,69.44,-133.03,48.2,17.22
24,Maracacume,93,BR,1565816217,92,-2.04,-45.96,76.73,3.65
25,Vaini,100,IN,1565816218,90,15.34,74.49,76.37,5.48
26,Mahebourg,20,MU,1565816107,56,-20.41,57.7,71.6,11.41
27,Yokadouma,100,CM,1565816221,96,3.52,15.05,69.89,0.89
28,Watsa,100,CD,1565816222,96,3.04,29.53,65.21,1.16
29,Saint George,0,GR,1565816223,69,39.45,22.34,78.8,9.17
30,Saint Anthony,20,US,1565816225,18,43.97,-111.68,84.2,12.75
31,Shimoda,75,JP,1565816226,88,34.7,138.93,82.4,9.17
32,Eureka,20,US,1565816228,68,40.8,-124.16,73.99,17.22
33,Kushiro,96,JP,1565816229,90,43.11,144.15,59.27,3.6
34,Fort Nelson,75,CA,1565816231,36,58.81,-122.69,78.8,16.11
35,Butaritari,69,KI,1565816232,69,3.07,172.79,84.11,10.18
36,Rikitea,0,PF,1565816233,83,-23.12,-134.97,73.49,13.91
37,Punta Arenas,20,CL,1565816234,60,-53.16,-70.91,41.0,16.11
38,Fairbanks,90,US,1565816236,67,64.84,-147.72,60.8,12.75
39,Atuona,0,PF,1565816237,71,-9.8,-139.03,79.07,13.47
40,Okato,26,NZ,1565816238,79,-39.19,173.88,53.01,1.01
41,Port Blair,100,IN,1565816239,80,11.67,92.75,82.85,16.6
42,Bijie,0,CN,1565816102,79,27.3,105.3,58.55,3.91
43,Pingtung,75,TW,1565816242,94,22.67,120.49,84.2,9.17
44,Caravelas,0,BR,1565816243,83,-17.73,-39.27,72.59,14.88
45,Lorengau,9,PG,1565816244,83,-2.02,147.27,79.61,7.49
46,Abu Kamal,0,SY,1565816245,26,34.45,40.92,88.61,18.45
47,Severo-Kurilsk,100,RU,1565816246,97,50.68,156.12,48.65,10.98
48,Chokurdakh,50,RU,1565816248,63,70.62,147.9,43.79,13.09
49,Banda Aceh,100,ID,1565816249,74,5.56,95.32,83.03,11.14
50,Geraldton,75,CA,1565816250,42,49.72,-86.95,68.0,2.24
51,Mocuba,3,MZ,1565816251,98,-16.84,36.99,64.31,1.79
52,Bredasdorp,0,ZA,1565816253,93,-34.53,20.04,52.0,6.93
53,Jamestown,0,AU,1565816254,38,-33.21,138.6,48.11,10.36
54,Luwingu,0,ZM,1565816255,55,-10.26,29.92,55.67,3.53
55,Mar del Plata,0,AR,1565816256,47,-46.43,-67.52,38.21,16.4
56,Cabo San Lucas,75,MX,1565816254,36,22.89,-109.91,98.01,8.05
57,Pevek,100,RU,1565816259,98,69.7,170.27,32.81,20.54
58,Katsuura,90,JP,1565816260,83,33.93,134.5,82.4,38.03
59,Guerrero Negro,0,MX,1565816261,74,27.97,-114.04,70.43,11.41
60,Kenai,1,US,1565816262,68,60.55,-151.26,75.0,12.75
61,Kodiak,1,US,1565816264,57,39.95,-94.76,82.99,8.05
62,Hearst,91,CA,1565816265,42,49.69,-83.67,68.81,4.76
63,Guanica,40,PR,1565816266,74,17.97,-66.91,89.01,14.99
64,Hobyo,100,SO,1565816267,77,5.35,48.53,75.29,28.05
65,Neftcala,0,AZ,1565816269,81,39.37,49.25,71.51,7.99
66,Dikson,100,RU,1565816270,84,73.51,80.55,44.15,8.34
67,Redding,1,US,1565815983,21,40.59,-122.39,106.0,3.36
68,Qaqortoq,20,GL,1565816272,23,60.72,-46.03,60.8,18.34
69,Mataura,100,NZ,1565816274,89,-46.19,168.86,44.01,4.0
70,New Norfolk,75,AU,1565816275,61,-42.78,147.06,51.01,6.93
71,Longyearbyen,75,NO,1565816276,86,78.22,15.63,37.4,8.05
72,Bluff,5,AU,1565816277,88,-23.58,149.07,56.03,9.91
73,Bethel,90,US,1565816279,87,60.79,-161.76,57.2,9.17
74,Parksville,1,US,1565816280,47,33.79,-82.22,102.0,6.89
75,Arraial do Cabo,75,BR,1565816281,60,-22.97,-42.02,68.0,17.22
76,Umm Lajj,0,SA,1565816282,82,25.02,37.27,87.71,2.26
77,Iqaluit,90,CA,1565816284,100,63.75,-68.52,41.0,9.17
78,Bambous Virieux,20,MU,1565816285,56,-20.34,57.76,71.6,11.41
79,Antalaha,27,MG,1565816286,98,-14.9,50.28,62.51,3.83
80,San Cristobal,17,HN,1565816288,43,14.68,-86.92,86.81,11.07
81,Zhob,0,PK,1565816289,69,31.34,69.45,72.59,2.68
82,Magadan,0,RU,1565816290,68,59.56,150.8,55.85,4.34
83,Georgetown,75,GY,1565816291,78,6.8,-58.16,84.2,18.34
84,Port Elizabeth,90,US,1565816293,88,39.31,-74.98,82.99,6.93
85,Cape Town,0,ZA,1565816051,87,-33.93,18.42,59.0,9.17
86,Lethem,57,GY,1565816295,65,3.38,-59.8,85.01,3.98
87,Charters Towers,99,AU,1565816296,94,-20.07,146.27,54.23,6.15
88,Pacific Grove,1,US,1565815998,56,36.62,-121.92,104.0,5.82
89,Bolobo,94,CD,1565816299,63,-2.17,16.23,81.05,1.97
90,Torbay,20,CA,1565816300,49,47.66,-52.73,71.6,14.99
91,Hilo,90,US,1565816301,88,19.71,-155.08,82.99,4.7
92,Salem,1,US,1565816060,39,44.94,-123.03,88.0,3.36
93,Puerto Ayora,15,EC,1565816303,87,-0.74,-90.35,69.01,5.99
94,Huambo,0,AO,1565816305,28,-12.78,15.73,61.43,3.6
95,Petrove,0,UA,1565816306,52,48.34,33.27,66.2,4.47
96,Salvador,0,BR,1565816211,65,-12.98,-38.48,78.8,10.29
97,Dunedin,41,NZ,1565816145,55,-45.87,170.5,46.99,1.99
98,Meulaboh,100,ID,1565816309,74,4.14,96.13,81.23,14.56
99,Macau,12,BR,1565816311,78,-5.11,-36.64,77.81,20.24
100,Kaitangata,100,NZ,1565816312,70,-46.28,169.85,46.99,7.0
101,Sioux Falls,40,US,1565816313,64,43.55,-96.7,78.01,3.36
102,Ratnagiri,100,IN,1565816314,83,16.98,73.3,81.05,17.9
103,Varkkallai,75,IN,1565816315,94,8.73,76.71,77.0,6.93
104,Marzuq,59,YE,1565816317,30,14.4,46.47,85.19,3.06
